date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:03	141/141	---MCZ	200	added ('OK')	text/plain	etag:%221d43a5bdcb6f618%22	https://one.encodeinfotech.com/robots.txt		(from )
18:32:05	47799/47799	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:32:03%20GMT	https://one.encodeinfotech.com/	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/index.html	(from )
18:32:10	140930/140930	---M-Z	200	added ('OK')	text/css	etag:%221525106756%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.1/css/bootstrap.min.css	C:/Users/Bhra%20Khoby/Desktop/Actual/stackpath.bootstrapcdn.com/bootstrap/4.1.1/css/bootstrap.min.css	(from https://one.encodeinfotech.com/)
18:32:20	46930/46930	---MCZ	200	added ('OK')	text/css	etag:W/%2220a9ce516eaea76da29a23adc43e8998%22	https://use.fontawesome.com/releases/v5.2.0/css/all.css	C:/Users/Bhra%20Khoby/Desktop/Actual/use.fontawesome.com/releases/v5.2.0/css/all.css	(from https://one.encodeinfotech.com/)
18:32:23	9395/9395	---MCZ	200	added ('OK')	text/css	etag:%221d3fb63343359b3%22	https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css	(from https://one.encodeinfotech.com/)
18:32:26	6454/6454	---MCZ	200	added ('OK')	text/css	etag:%221d404eb1400b136%22	https://one.encodeinfotech.com/lib/toastr/toastr.min.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/toastr/toastr.min.css	(from https://one.encodeinfotech.com/)
18:32:33	73967/73967	---MCZ	200	added ('OK')	text/css	etag:%221d4387b02d050ef%22	https://one.encodeinfotech.com/css/site.min.css?v=tmqmN6_0kJDe7fnylIZZqslslFLtARTV3Kc-huPRako	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/css/site.min1d03.css	(from https://one.encodeinfotech.com/)
18:32:38	3/3	---MCZ	200	added ('OK')	text/css	etag:%221d431b6eec0ab03%22	https://one.encodeinfotech.com/css/custom.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/css/custom.css	(from https://one.encodeinfotech.com/)
18:32:42	3773/3773	---MCZ	200	added ('OK')	text/css	etag:%221d43635cf51dabd%22	https://one.encodeinfotech.com/css/demo.css	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/css/demo.css	(from https://one.encodeinfotech.com/)
18:32:44	16582/16582	---M--	200	added ('OK')	image/png	etag:%221d436209ce9ecc6%22	https://one.encodeinfotech.com/images/logo.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/logo.png	(from https://one.encodeinfotech.com/)
18:32:48	8057/8057	---M--	200	added ('OK')	image/png	etag:%221d4361f26986579%22	https://one.encodeinfotech.com/images/logo-icon.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/logo-icon.png	(from https://one.encodeinfotech.com/)
18:32:53	2270/2270	---M--	200	added ('OK')	image/png	etag:%221d40573d431dbde%22	https://one.encodeinfotech.com/images/avatars/employee-1.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/avatars/employee-1.png	(from https://one.encodeinfotech.com/)
18:32:57	6397/6397	---M--	200	added ('OK')	image/png	etag:%221d40573db58f9fd%22	https://one.encodeinfotech.com/images/avatars/employee-2.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/avatars/employee-2.png	(from https://one.encodeinfotech.com/)
18:33:03	2934/2934	---M--	200	added ('OK')	image/png	etag:%221d40573e27fe476%22	https://one.encodeinfotech.com/images/avatars/employee-3.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/avatars/employee-3.png	(from https://one.encodeinfotech.com/)
18:33:06	5966/5966	---M--	200	added ('OK')	image/png	etag:%221d40573e875c74e%22	https://one.encodeinfotech.com/images/avatars/employee-4.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/avatars/employee-4.png	(from https://one.encodeinfotech.com/)
18:33:09	6340/6340	---M--	200	added ('OK')	image/png	etag:%221d405730e4ebdc4%22	https://one.encodeinfotech.com/images/user-profile.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/user-profile.png	(from https://one.encodeinfotech.com/)
18:33:14	37727/37727	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:14%20GMT	https://one.encodeinfotech.com/User/UserProfile	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/User/UserProfile.html	(from https://one.encodeinfotech.com/)
18:33:17	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Nov%202018%2018:33:18%20GMT	https://one.encodeinfotech.com/Identity/Account/Logout	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Logout.f.delayed	(from https://one.encodeinfotech.com/)
18:33:20	27294/27294	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:21%20GMT	https://one.encodeinfotech.com/Masters/Employees	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Employees.html	(from https://one.encodeinfotech.com/)
18:33:24	26240/26240	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:24%20GMT	https://one.encodeinfotech.com/Masters/Designations	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Designations.html	(from https://one.encodeinfotech.com/)
18:33:26	26226/26226	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:27%20GMT	https://one.encodeinfotech.com/Masters/Departments	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Departments.html	(from https://one.encodeinfotech.com/)
18:33:31	26790/26790	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:29%20GMT	https://one.encodeinfotech.com/Masters/Countries	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Countries.html	(from https://one.encodeinfotech.com/)
18:33:33	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Nov%202018%2018:33:35%20GMT	https://one.encodeinfotech.com/Identity/Account/Manage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Manage.14.delayed	(from https://one.encodeinfotech.com/)
18:33:40	6518/6518	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:40%20GMT	https://one.encodeinfotech.com/Identity/Account/Login?ReturnUrl=%2FIdentity%2FAccount%2FManage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Login6ee2.html	(from https://one.encodeinfotech.com/)
18:33:43	6491/6491	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:43%20GMT	https://one.encodeinfotech.com/Identity/Account/Login	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Login.html	(from https://one.encodeinfotech.com/)
18:33:45	6481/6481	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:46%20GMT	https://one.encodeinfotech.com/Identity/Account/Register	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Register.html	(from https://one.encodeinfotech.com/)
